Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [144.923121ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [145.747296ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [146.619077ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [147.436598ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [148.334289ms] Service 1 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [148.338324ms] Service 1 yielding
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [149.831077ms] Service 3 running
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [150.687495ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [151.535493ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [152.383172ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [153.256129ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [154.097757ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [154.947817ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [155.817003ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [156.672061ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [157.548514ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [158.389795ms] Service 3 computing
Jan 18 00:40:27 tj-HP-Pavilion-Desktop-PC-570-p0XX my_seq: [159.233755ms] Service 3 computing
